Custom field (Hospital Name),Custom field (1a. How many Fee For Service (FFS) Medicare patients were discharged from acute hospital care at home in the last calendar month?),Custom field (1b. How many non-managed care Medicaid patients were discharged from acute hospital care at home in the last calendar month?),Custom field (1c. How many discharges involved patients who had both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),"Custom field (2a. Excluding patients on hospice and those not on hospice but whose death was expected by the care team and the patient and their family/caregivers, how many FFS Medicare patients died during their hospitalization in the past calendar month?)","Custom field (2b. Excluding patients on hospice and those not on hospice but whose death was expected by the care team and the patient and their family/caregivers, how many non-managed care Medicaid patients died during their hospitalization in the past calendar mo...)",Custom field (2c. How many patients died during their hospitalization in the past calendar month who had both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),Custom field (3a. How many FFS Medicare patients required transfer back and admission to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month?),Custom field (3b. How many non-managed care Medicaid patients required transfer back and admission to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month?),Custom field (3c. How many patient discharges involved a transfer to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month and had coverage by both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),Custom field (4. Has your acute hospital care at home safety committee reviewed the metrics being reported in this monthly report?),Custom field (CCN),Issue Type,Custom field (Measure From Date),Custom field (Measure To Date),Priority,Reporter,Summary,Created,Status
Geisinger Wyoming Valley Medical Center,0,0,0,0,0,0,0,0,0,No,390270,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Geisinger Wyoming Valley Medical Center: Measures for 2022-12-01 - 2022-12-31,Jan/02/2023 4:05 PM,Measures Submitted
Geisinger Medical Center,0,0,0,0,0,0,0,0,0,No,390006,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Geisinger Medical Center: Measures for 2022-12-01 - 2022-12-31,Jan/02/2023 4:04 PM,Measures Submitted
Abbott Northwestern Hospital,0,0,0,0,0,0,0,0,0,No,240057,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Abbott Northwestern Hospital: Measures for 2022-12-01 - 2022-12-31,Jan/02/2023 2:20 PM,Measures Submitted
St. Francis Regional Medical Center,0,0,0,0,0,0,0,0,0,No,240104,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,St. Francis Regional Medical Center: Measures for 2022-12-01 - 2022-12-31,Jan/02/2023 2:20 PM,Measures Submitted
Mercy Hospital,0,0,0,0,0,0,0,0,0,No,240115,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Mercy Hospital: Measures for 2022-12-01 - 2022-12-31,Jan/02/2023 2:19 PM,Measures Submitted
United Hospital,0,0,0,0,0,0,0,0,0,No,240038,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,United Hospital: Measures for 2022-12-01 - 2022-12-31,Jan/02/2023 2:18 PM,Measures Submitted
Johnson City Medical Center,0,0,0,0,0,0,0,0,0,No,440063,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Johnson City Medical Center: Measures for 2022-12-01 - 2022-12-31,Jan/02/2023 11:41 AM,Measures Submitted
Holston Valley Medical Center,0,0,0,0,0,0,0,0,0,No,440017,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Holston Valley Medical Center: Measures for 2022-12-01 - 2022-12-31,Jan/02/2023 11:40 AM,Measures Submitted
Bristol Regional Medical Center,0,0,0,0,0,0,0,0,0,No,440012,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Bristol Regional Medical Center: Measures for 2022-12-01 - 2022-12-31,Jan/02/2023 11:36 AM,Measures Submitted
Indian Path Community Hospital,0,0,0,0,0,0,0,0,0,No,440176,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Indian Path Community Hospital: Measures for 2022-12-01 - 2022-12-31,Jan/02/2023 11:36 AM,Measures Submitted
Adventist Health Ukiah Valley,0,0,0,0,0,0,0,0,0,No,50301,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Adventist Health Ukiah Valley: Measures for 2022-11-01 - 2022-11-30,Dec/23/2022 1:00 PM,Measures Submitted
Hanford Community Hospital dba Adventist Health Hanford,0,0,0,0,0,0,0,0,0,No,50121,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Hanford Community Hospital dba Adventist Health Hanford: Measures for 2022-11-01 - 2022-11-30,Dec/23/2022 12:58 PM,Measures Submitted
San Joaquin Community Hospital dba Adventist Health Bakersfield,0,0,0,0,0,0,0,0,0,No,50455,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,San Joaquin Community Hospital dba Adventist Health Bakersfield: Measures for 2022-11-01 - 2022-11-30,Dec/23/2022 12:57 PM,Measures Submitted
UC San Diego Health,0,0,0,0,0,0,0,0,0,No,50025,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,UC San Diego Health: Measures for 2022-11-01 - 2022-11-30,Dec/13/2022 7:13 PM,Measures Submitted
Regions Hospital,2,0,0,0,0,0,0,0,0,Yes,240106,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Regions Hospital: Measures for 2022-11-01 - 2022-11-30,Dec/07/2022 9:58 PM,Measures Submitted
UnityPoint Health System,3,0,0,0,0,0,0,0,0,Yes,160082,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,UnityPoint Health System: Measures for 2022-11-01 - 2022-11-30,Dec/07/2022 2:34 PM,Measures Submitted
United Health Services Hospitals,0,0,0,0,0,0,0,0,0,No,330394,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,United Health Services Hospitals: Measures for 2022-11-01 - 2022-11-30,Dec/07/2022 9:10 AM,Measures Submitted
Methodist Hospital,0,0,0,0,0,0,0,0,0,No,240053,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Methodist Hospital: Measures for 2022-11-01 - 2022-11-30,Dec/07/2022 9:03 AM,Measures Submitted
Mercy Hospital St. Louis,0,0,0,0,0,0,0,0,0,No,260020,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Mercy Hospital St. Louis: Measures for 2022-11-01 - 2022-11-30,Dec/07/2022 9:00 AM,Measures Submitted
Atrium Health Lincoln,4,1,0,0,0,0,0,0,0,Yes,340145,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Atrium Health Lincoln: Measures for 2022-11-01 - 2022-11-30,Dec/07/2022 8:25 AM,Measures Submitted
Atrium Health Cleveland,16,12,3,0,0,0,0,0,0,Yes,340021,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Atrium Health Cleveland: Measures for 2022-11-01 - 2022-11-30,Dec/07/2022 8:22 AM,Measures Submitted
Atrium Health University,5,3,2,0,0,0,0,0,0,Yes,340166,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Atrium Health University: Measures for 2022-11-01 - 2022-11-30,Dec/07/2022 8:20 AM,Measures Submitted
Atrium Health Union,17,4,2,0,0,0,0,0,0,Yes,340130,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Atrium Health Union: Measures for 2022-11-01 - 2022-11-30,Dec/07/2022 8:17 AM,Measures Submitted
Atrium Health Pineville,5,0,0,0,0,0,1,0,0,Yes,340098,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,High,ess_service_account,Atrium Health Pineville: Measures for 2022-11-01 - 2022-11-30,Dec/07/2022 8:14 AM,Measures Submitted
Carolinas Medical Center,10,9,1,0,0,0,0,0,0,Yes,340113,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Carolinas Medical Center: Measures for 2022-11-01 - 2022-11-30,Dec/07/2022 8:11 AM,Measures Submitted
Atrium Health Cabarrus,20,6,2,0,0,0,1,0,0,Yes,340001,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Atrium Health Cabarrus: Measures for 2022-11-01 - 2022-11-30,Dec/07/2022 8:07 AM,Measures Submitted
Brigham and Women's Hospital,31,14,6,0,0,0,1,1,0,Yes,220110,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Brigham and Women's Hospital: Measures for 2022-11-01 - 2022-11-30,Dec/06/2022 5:33 PM,Measures Submitted
Sentara Norfolk General Hospital,0,0,0,0,0,0,0,0,0,No,490007,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Sentara Norfolk General Hospital: Measures for 2022-11-01 - 2022-11-30,Dec/06/2022 5:30 PM,Measures Submitted
Johnson City Medical Center,0,0,0,0,0,0,0,0,0,No,440063,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Johnson City Medical Center: Measures for 2022-11-01 - 2022-11-30,Dec/06/2022 3:42 PM,Measures Submitted
Holston Valley Medical Center,0,0,0,0,0,0,0,0,0,No,440017,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Holston Valley Medical Center: Measures for 2022-11-01 - 2022-11-30,Dec/06/2022 3:41 PM,Measures Submitted
Bristol Regional Medical Center,0,0,0,0,0,0,0,0,0,No,440012,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Bristol Regional Medical Center: Measures for 2022-11-01 - 2022-11-30,Dec/06/2022 3:40 PM,Measures Submitted
Indian Path Community Hospital,0,0,0,0,0,0,0,0,0,No,440176,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Indian Path Community Hospital: Measures for 2022-11-01 - 2022-11-30,Dec/06/2022 3:39 PM,Measures Submitted
Mayo Clinic Health System-Northwest Wisconsin Region,14,1,1,0,0,0,4,0,0,Yes,520070,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,High,ess_service_account,Mayo Clinic Health System-Northwest Wisconsin Region: Measures for 2022-11-01 - 2022-11-30,Dec/06/2022 2:48 PM,Measures Submitted
Mayo Clinic Florida,49,1,1,0,0,0,7,0,1,Yes,100151,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Mayo Clinic Florida: Measures for 2022-11-01 - 2022-11-30,Dec/06/2022 2:43 PM,Measures Submitted
Vanderbilt University Medical Center,12,1,1,0,0,0,0,0,0,Yes,440039,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Vanderbilt University Medical Center: Measures for 2022-11-01 - 2022-11-30,Dec/06/2022 10:49 AM,Measures Submitted
Massachusetts General Hospital,19,7,6,1,1,1,2,1,1,Yes,220071,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Critical,ess_service_account,Massachusetts General Hospital: Measures for 2022-11-01 - 2022-11-30,Dec/06/2022 8:10 AM,Measures Submitted
South Shore Health,0,0,0,0,0,0,0,0,0,No,220100,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,South Shore Health: Measures for 2022-11-01 - 2022-11-30,Dec/05/2022 2:44 PM,Measures Submitted
Marshfield Medical Center-Marshfield,2,0,0,0,0,0,0,0,0,Yes,520037,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Marshfield Medical Center-Marshfield: Measures for 2022-11-01 - 2022-11-30,Dec/05/2022 9:53 AM,Measures Submitted
Indiana University Health Methodist Hospital,0,0,0,0,0,0,0,0,0,No,150056,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Indiana University Health Methodist Hospital: Measures for 2022-11-01 - 2022-11-30,Dec/04/2022 11:14 AM,Measures Submitted
WakeMed Health and Hospitals- Cary,5,1,0,0,0,0,2,0,0,Yes,340173,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,High,ess_service_account,WakeMed Health and Hospitals- Cary: Measures for 2022-11-01 - 2022-11-30,Dec/02/2022 4:04 PM,Measures Submitted
WakeMed Health and Hospitals- Raleigh,4,2,0,0,0,0,0,0,0,Yes,340069,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Raleigh: Measures for 2022-11-01 - 2022-11-30,Dec/02/2022 3:56 PM,Measures Submitted
Mount Sinai Morningside Hospital,0,0,0,0,0,0,0,0,0,No,330046,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Mount Sinai Morningside Hospital: Measures for 2022-11-01 - 2022-11-30,Dec/02/2022 10:01 AM,Measures Submitted
Mount Sinai Beth Israel Hospital,0,0,0,0,0,0,0,0,0,No,330169,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Mount Sinai Beth Israel Hospital: Measures for 2022-11-01 - 2022-11-30,Dec/02/2022 10:01 AM,Measures Submitted
Mount Sinai Hospital,11,1,1,0,0,0,0,0,0,Yes,330024,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Mount Sinai Hospital: Measures for 2022-11-01 - 2022-11-30,Dec/02/2022 9:58 AM,Measures Submitted
Abbott Northwestern Hospital,0,0,0,0,0,0,0,0,0,No,240057,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Abbott Northwestern Hospital: Measures for 2022-11-01 - 2022-11-30,Dec/01/2022 6:45 PM,Measures Submitted
St. Francis Regional Medical Center,0,0,0,0,0,0,0,0,0,No,240104,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,St. Francis Regional Medical Center: Measures for 2022-11-01 - 2022-11-30,Dec/01/2022 6:44 PM,Measures Submitted
Mercy Hospital,0,0,0,0,0,0,0,0,0,No,240115,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Mercy Hospital: Measures for 2022-11-01 - 2022-11-30,Dec/01/2022 6:43 PM,Measures Submitted
United Hospital,0,0,0,0,0,0,0,0,0,No,240038,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,United Hospital: Measures for 2022-11-01 - 2022-11-30,Dec/01/2022 6:43 PM,Measures Submitted
Greenville Memorial Hospital,2,0,0,0,0,0,0,0,0,Yes,420078,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Greenville Memorial Hospital: Measures for 2022-11-01 - 2022-11-30,Dec/01/2022 3:59 PM,Measures Submitted
Massachusetts General Hospital,19,7,6,0,0,0,2,1,1,Yes,220071,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Massachusetts General Hospital: Measures for 2022-11-01 - 2022-11-30,Dec/01/2022 3:46 PM,Rejected
Geisinger Lewistown Hospital,0,0,0,0,0,0,0,0,0,No,390048,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Geisinger Lewistown Hospital: Measures for 2022-11-01 - 2022-11-30,Dec/01/2022 3:09 PM,Measures Submitted
Geisinger-Community Medical Center,0,0,0,0,0,0,0,0,0,No,390001,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Geisinger-Community Medical Center: Measures for 2022-11-01 - 2022-11-30,Dec/01/2022 3:08 PM,Measures Submitted
Geisinger Wyoming Valley Medical Center,0,0,0,0,0,0,0,0,0,No,390270,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Geisinger Wyoming Valley Medical Center: Measures for 2022-11-01 - 2022-11-30,Dec/01/2022 3:08 PM,Measures Submitted
Geisinger Medical Center,0,0,0,0,0,0,0,0,0,No,390006,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Geisinger Medical Center: Measures for 2022-11-01 - 2022-11-30,Dec/01/2022 3:07 PM,Measures Submitted
Kaiser Foundation Hospital - Westside,0,0,0,0,0,0,0,0,0,Yes,380103,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Kaiser Foundation Hospital - Westside: Measures for 2022-11-01 - 2022-11-30,Dec/01/2022 1:06 PM,Measures Submitted
Kaiser Sunnyside Medical Center,0,0,0,0,0,0,0,0,0,Yes,380091,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,Medium,ess_service_account,Kaiser Sunnyside Medical Center: Measures for 2022-11-01 - 2022-11-30,Dec/01/2022 1:05 PM,Measures Submitted
OSF Saint Francis Medical Center,10,1,1,0,0,0,2,0,0,Yes,140067,AHCAH Measure - Tier 1,Nov/01/2022 12:00 AM,Nov/30/2022 12:00 AM,High,ess_service_account,OSF Saint Francis Medical Center: Measures for 2022-11-01 - 2022-11-30,Dec/01/2022 11:11 AM,Measures Submitted
Adventist Health Ukiah Valley,0,0,0,0,0,0,0,0,0,No,50301,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Adventist Health Ukiah Valley: Measures for 2022-10-01 - 2022-10-31,Nov/16/2022 10:35 AM,Measures Submitted
Hanford Community Hospital dba Adventist Health Hanford,0,0,0,0,0,0,0,0,0,No,50121,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Hanford Community Hospital dba Adventist Health Hanford: Measures for 2022-10-01 - 2022-10-31,Nov/16/2022 10:34 AM,Measures Submitted
San Joaquin Community Hospital dba Adventist Health Bakersfield,0,0,0,0,0,0,0,0,0,No,50455,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,San Joaquin Community Hospital dba Adventist Health Bakersfield: Measures for 2022-10-01 - 2022-10-31,Nov/16/2022 10:33 AM,Measures Submitted
UC San Diego Health,0,0,0,0,0,0,0,0,0,No,50025,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,UC San Diego Health: Measures for 2022-10-01 - 2022-10-31,Nov/08/2022 7:26 PM,Measures Submitted
UC San Diego Health,0,0,0,0,0,0,0,0,0,No,50025,AHCAH Measure - Tier 1,Nov/23/2020 12:00 AM,Dec/31/2020 12:00 AM,Medium,ess_service_account,UC San Diego Health: Measures for 2020-11-23 - 2020-12-31,Nov/08/2022 7:26 PM,Measures Submitted
Presbyterian Hospital/Presbyterian Healthcare Services,0,0,0,0,0,0,0,0,0,No,320021,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Presbyterian Hospital/Presbyterian Healthcare Services: Measures for 2022-10-01 - 2022-10-31,Nov/08/2022 10:56 AM,Measures Submitted
Atrium Health Lincoln,7,2,1,0,0,0,0,0,0,Yes,340145,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health Lincoln: Measures for 2022-10-01 - 2022-10-31,Nov/07/2022 3:40 PM,Measures Submitted
Atrium Health Cleveland,7,9,1,0,0,0,0,0,0,Yes,340021,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health Cleveland: Measures for 2022-10-01 - 2022-10-31,Nov/07/2022 3:35 PM,Measures Submitted
Atrium Health University,2,4,0,0,0,0,0,0,0,Yes,340166,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health University: Measures for 2022-10-01 - 2022-10-31,Nov/07/2022 3:32 PM,Measures Submitted
Atrium Health Union,9,3,1,0,0,0,0,1,0,Yes,340130,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health Union: Measures for 2022-10-01 - 2022-10-31,Nov/07/2022 3:29 PM,Measures Submitted
Atrium Health Pineville,8,1,0,0,0,0,1,0,0,Yes,340098,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health Pineville: Measures for 2022-10-01 - 2022-10-31,Nov/07/2022 3:26 PM,Measures Submitted
Carolinas Medical Center,9,7,1,0,0,0,1,0,0,Yes,340113,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Carolinas Medical Center: Measures for 2022-10-01 - 2022-10-31,Nov/07/2022 3:23 PM,Measures Submitted
Atrium Health Cabarrus,11,5,1,0,0,0,2,0,0,Yes,340001,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health Cabarrus: Measures for 2022-10-01 - 2022-10-31,Nov/07/2022 3:19 PM,Measures Submitted
Johnson City Medical Center,0,0,0,0,0,0,0,0,0,No,440063,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Johnson City Medical Center: Measures for 2022-10-01 - 2022-10-31,Nov/07/2022 2:26 PM,Measures Submitted
Holston Valley Medical Center,0,0,0,0,0,0,0,0,0,No,440017,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Holston Valley Medical Center: Measures for 2022-10-01 - 2022-10-31,Nov/07/2022 2:26 PM,Measures Submitted
Bristol Regional Medical Center,0,0,0,0,0,0,0,0,0,No,440012,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Bristol Regional Medical Center: Measures for 2022-10-01 - 2022-10-31,Nov/07/2022 2:25 PM,Measures Submitted
Indian Path Community Hospital,0,0,0,0,0,0,0,0,0,No,440176,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Indian Path Community Hospital: Measures for 2022-10-01 - 2022-10-31,Nov/07/2022 2:24 PM,Measures Submitted
United Health Services Hospitals,0,0,0,0,0,0,0,0,0,No,330394,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,United Health Services Hospitals: Measures for 2022-10-01 - 2022-10-31,Nov/07/2022 1:52 PM,Measures Submitted
Regions Hospital,2,0,0,0,0,0,0,0,0,Yes,240106,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Regions Hospital: Measures for 2022-10-01 - 2022-10-31,Nov/07/2022 11:12 AM,Measures Submitted
Methodist Hospital,0,0,0,0,0,0,0,0,0,No,240053,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Methodist Hospital: Measures for 2022-10-01 - 2022-10-31,Nov/07/2022 11:05 AM,Measures Submitted
Mercy Hospital St. Louis,0,0,0,0,0,0,0,0,0,No,260020,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Mercy Hospital St. Louis: Measures for 2022-10-01 - 2022-10-31,Nov/07/2022 9:57 AM,Measures Submitted
Brigham and Women's Hospital,32,18,10,0,0,0,2,1,1,Yes,220110,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Brigham and Women's Hospital: Measures for 2022-10-01 - 2022-10-31,Nov/06/2022 11:03 AM,Measures Submitted
Scripps Memorial Hospital Encinitas,0,0,0,0,0,0,0,0,0,No,50503,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Scripps Memorial Hospital Encinitas: Measures for 2022-10-01 - 2022-10-31,Nov/04/2022 4:51 PM,Measures Submitted
Scripps Memorial Hospital Encinitas,0,0,0,0,0,0,0,0,0,No,50503,AHCAH Measure - Tier 1,Sep/01/2022 12:00 AM,Sep/30/2022 12:00 AM,Medium,ess_service_account,Scripps Memorial Hospital Encinitas: Measures for 2022-09-01 - 2022-09-30,Nov/04/2022 4:50 PM,Measures Submitted
Mayo Clinic Florida,40,2,2,0,0,0,2,0,0,Yes,100151,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,Mayo Clinic Florida: Measures for 2022-10-01 - 2022-10-31,Nov/04/2022 3:10 PM,Measures Submitted
Mayo Clinic Health System-Northwest Wisconsin Region,13,3,3,0,0,0,2,0,0,Yes,520070,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,High,ess_service_account,Mayo Clinic Health System-Northwest Wisconsin Region: Measures for 2022-10-01 - 2022-10-31,Nov/04/2022 3:07 PM,Measures Submitted
Vanderbilt University Medical Center,13,1,1,0,0,0,2,0,0,Yes,440039,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,High,ess_service_account,Vanderbilt University Medical Center: Measures for 2022-10-01 - 2022-10-31,Nov/04/2022 2:03 PM,Measures Submitted
WakeMed Health and Hospitals- Raleigh,2,4,0,0,0,0,0,0,0,Yes,340069,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Raleigh: Measures for 2022-10-01 - 2022-10-31,Nov/04/2022 12:43 PM,Measures Submitted
WakeMed Health and Hospitals- Cary,3,0,0,0,0,0,0,0,0,Yes,340173,AHCAH Measure - Tier 1,Oct/01/2022 12:00 AM,Oct/31/2022 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Cary: Measures for 2022-10-01 - 2022-10-31,Nov/04/2022 12:18 PM,Measures Submitted
